@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R2,328'

@attribute fingersExtended numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1101,G0
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1000,G2
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
11000,G4
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1100,G5
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
1110,G6
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
10001,G7
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11001,G8
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
11111,G9
