@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,12'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
1,1000,G2
1,1,G3
1,1,G3
2,1,G3
2,1,G3
1,1,G3
1,1,G3
1,1,G3
2,1,G3
2,1,G3
1,1,G3
3,11000,G4
2,11000,G4
3,11000,G4
2,11000,G4
2,11000,G4
2,11000,G4
2,11000,G4
2,11000,G4
2,11000,G4
3,11000,G4
2,1100,G5
2,1100,G5
2,1100,G5
3,1100,G5
2,1100,G5
2,1100,G5
2,1100,G5
2,1100,G5
2,1100,G5
2,1100,G5
3,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
3,10001,G7
2,10001,G7
2,10001,G7
2,10001,G7
2,10001,G7
3,10001,G7
2,10001,G7
2,10001,G7
3,10001,G7
3,10001,G7
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
5,11111,G9
5,11111,G9
5,11111,G9
1,11111,G9
5,11111,G9
5,11111,G9
5,11111,G9
5,11111,G9
5,11111,G9
5,11111,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
2,1101,G0
3,1101,G0
3,1101,G0
2,1101,G0
2,1101,G0
3,1101,G0
2,1101,G0
3,1101,G0
3,1101,G0
3,1101,G0
1,1000,G2
0,1000,G2
0,1000,G2
1,1000,G2
1,1000,G2
1,1000,G2
1,1000,G2
0,1000,G2
1,1000,G2
1,1000,G2
2,1,G3
3,1,G3
0,1,G3
2,1,G3
2,1,G3
1,1,G3
1,1,G3
2,1,G3
2,1,G3
2,1,G3
2,11000,G4
3,11000,G4
2,11000,G4
2,11000,G4
2,11000,G4
2,11000,G4
2,11000,G4
2,11000,G4
3,11000,G4
3,11000,G4
2,1100,G5
2,1100,G5
2,1100,G5
2,1100,G5
2,1100,G5
2,1100,G5
2,1100,G5
2,1100,G5
2,1100,G5
2,1100,G5
3,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
3,10001,G7
2,10001,G7
2,10001,G7
2,10001,G7
2,10001,G7
2,10001,G7
2,10001,G7
3,10001,G7
3,10001,G7
2,10001,G7
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
2,11001,G8
2,11001,G8
2,11001,G8
3,11001,G8
5,11111,G9
5,11111,G9
5,11111,G9
5,11111,G9
4,11111,G9
5,11111,G9
5,11111,G9
5,11111,G9
5,11111,G9
4,11111,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
1,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
2,1101,G0
3,1101,G0
3,1101,G0
3,1101,G0
4,1101,G0
3,1101,G0
3,1101,G0
3,1101,G0
3,1101,G0
3,1101,G0
1,1000,G2
2,1000,G2
1,1000,G2
1,1000,G2
2,1000,G2
1,1000,G2
1,1000,G2
1,1000,G2
1,1000,G2
1,1000,G2
1,1,G3
0,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
2,1,G3
2,1,G3
1,1,G3
1,1,G3
2,11000,G4
2,11000,G4
2,11000,G4
2,11000,G4
2,11000,G4
3,11000,G4
2,11000,G4
2,11000,G4
3,11000,G4
2,11000,G4
2,1100,G5
2,1100,G5
2,1100,G5
3,1100,G5
2,1100,G5
2,1100,G5
2,1100,G5
3,1100,G5
3,1100,G5
3,1100,G5
3,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
3,10001,G7
2,10001,G7
2,10001,G7
3,10001,G7
3,10001,G7
3,10001,G7
2,10001,G7
2,10001,G7
2,10001,G7
3,10001,G7
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
2,11001,G8
5,11111,G9
5,11111,G9
5,11111,G9
5,11111,G9
5,11111,G9
5,11111,G9
5,11111,G9
5,11111,G9
5,11111,G9
5,11111,G9
2,0,G1
0,0,G1
1,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
3,1101,G0
3,1101,G0
3,1101,G0
2,1101,G0
3,1101,G0
3,1101,G0
3,1101,G0
2,1101,G0
2,1101,G0
3,1101,G0
2,1000,G2
0,1000,G2
0,1000,G2
1,1000,G2
0,1000,G2
1,1000,G2
1,1000,G2
1,1000,G2
1,1000,G2
1,1000,G2
1,1,G3
2,1,G3
0,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
3,11000,G4
2,11000,G4
3,11000,G4
2,11000,G4
2,11000,G4
2,11000,G4
2,11000,G4
3,11000,G4
2,11000,G4
3,11000,G4
2,1100,G5
2,1100,G5
2,1100,G5
2,1100,G5
2,1100,G5
2,1100,G5
2,1100,G5
3,1100,G5
2,1100,G5
2,1100,G5
4,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
4,1110,G6
3,1110,G6
3,1110,G6
3,1110,G6
2,1110,G6
3,1110,G6
3,10001,G7
2,10001,G7
3,10001,G7
2,10001,G7
2,10001,G7
3,10001,G7
2,10001,G7
2,10001,G7
3,10001,G7
3,10001,G7
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
3,11001,G8
5,11111,G9
5,11111,G9
5,11111,G9
5,11111,G9
5,11111,G9
5,11111,G9
5,11111,G9
5,11111,G9
5,11111,G9
5,11111,G9
